"Arrebo, Anders"," Davids Psalmer, 1623
      og 1627. Udvalgte bønner. Udg. af Vagn Lundgaard Simonsen. 1-2. 1968","Munksgaard, København, 1965-83.",001625930:02,texts/arre02tom.xml,https://tekster.kb.dk/text/adl-texts-arre02tom-root,,,,
"Aarestrup, Emil",Udvalgte digte,"Det Danske Sprog- og Litteraturselskab, [København], 1999",001870521:07,texts/aarestrup07val.xml,https://tekster.kb.dk/text/adl-texts-aarestrup07val-root,,,,
"Paludan-Müller, Fr.",Dandserinden,"Det Danske Sprog- og Litteraturselskab, [København], 1991",001497562:04,texts/paludanm04.xml,https://tekster.kb.dk/text/adl-texts-paludanm04-root,,,,
"Holberg, Ludvig",Værker i tolv bind, 3-7: Komedier,"Rosenkilde og Bagger, [København], 1969-1971",001629300:05,texts/holb05val.xml,https://tekster.kb.dk/text/adl-texts-holb05val-root,,,
"Ingemann, B. S.","Landsbybørnene, Bd. 2","Det danske Forlag, København, 1943",001916180:07,texts/ingemann07tom.xml,https://tekster.kb.dk/text/adl-texts-ingemann07tom-root,,,,
"Rode, Helge",Den vilde Rose,"Gyldendal, København, 1931",002064379:13,texts/rode_13.xml,https://tekster.kb.dk/text/adl-texts-rode_13-root,,,,
"Grundtvig, N. F. S.",N. F. S. Grundtvigs udvalgte Skrifter,"Gyldendalske Boghandel, København, 1904-1909",001823350:02,texts/grundtvig02val.xml,https://tekster.kb.dk/text/adl-texts-grundtvig02val-root,,,,
"Falster, Christian","Satirer, 1720-42","Det Danske Sprog- og Litteraturselskab, København, 1982",001400990:04,texts/falster04.xml,https://tekster.kb.dk/text/adl-texts-falster04-root,,,,
"Worm, Jacob",Kommentar. - 1971,", København, [1968]-1994",001629316:02,texts/worm02tom.xml,https://tekster.kb.dk/text/adl-texts-worm02tom-root,,,,
"Knudsen-Hjortø, Knud",Folk,", København, 1903",001915175:03,texts/hjort_03.xml,https://tekster.kb.dk/text/adl-texts-hjort_03-root,,,,
"Larsen, Karl",Seksten Aar,", København, 1900",002220390:05,texts/larsenk_05.xml,https://tekster.kb.dk/text/adl-texts-larsenk_05-root,,,,
"Worm, Jacob","Wormiana / samlede af Erik Sønderholm ; udg. af Poul Lindegård Hjorth. - [Kbh.] : C. A. Reitzels, 1994",", København, [1968]-1994",001629316:04,texts/worm04tom.xml,https://tekster.kb.dk/text/adl-texts-worm04tom-root,,,,
"Holberg, Ludvig",Værker i tolv bind, 3-7: Komedier,"Rosenkilde og Bagger, [København], 1969-1971",001629300:07,texts/holb07val.xml,https://tekster.kb.dk/text/adl-texts-holb07val-root,,,
"Aarestrup, Emil",Emil Aarestrups samlede skrifter,"C. A. Reitzel, København, 1976",001582980:06,texts/aarestrup06f.xml,https://tekster.kb.dk/text/adl-texts-aarestrup06f-root,,,,
"Biehl, Charlotta Dorothea",Moralske Fortællinger,", København, 1781-82",002161766:05,texts/biehl05tom.xml,https://tekster.kb.dk/text/adl-texts-biehl05tom-root,,,,
"Aakjær, Jeppe", Vadmelsfolk , Af Gammel Jehannes hans Bivelskistaarri , Esper Tækki. - 1919,"Gyldendal, København, 1918-19",002251515:07,texts/aakjaer07tom.xml,https://tekster.kb.dk/text/adl-texts-aakjaer07tom-root,,
"Blicher, Steen Steensen",Udvalgte værker,"Gyldendal, [København], 1982-83",001383696:06,texts/blich06.xml,https://tekster.kb.dk/text/adl-texts-blich06-root,,,,
  ,87-00-42182-0,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
  ,87-00-43652-6,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
  ,87-00-43653-4,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
"Wessel, Johan Herman",Lykken bedre end Forstanden. Et Lystspil i 5 Optog,", [S.l.], [s.a.]",002160401:00,texts/wessel-lykken.xml,https://tekster.kb.dk/text/adl-texts-wessel-lykken-root,,,,
"Schack, Hans Egede",Phantasterne,"Det Danske Sprog- og Litteraturselskab, [København], 1993",001565640:00,texts/schackval.xml,https://tekster.kb.dk/text/adl-texts-schackval-root,,,,
"Gjellerup, Karl",Romulus. En Novelle,", København, 1883",001913811:02,texts/gjellerup02.xml,https://tekster.kb.dk/text/adl-texts-gjellerup02-root,,,,
"Brorson, Hans Adolph"," Troens rare Klenodie, 3.-7. del, samt 2 tillæg. - 1953",", København, 1951-56",001848791:02,texts/brorson02val.xml,https://tekster.kb.dk/text/adl-texts-brorson02val-root,,,,
"Larsen, Karl","Krig, Kultur og Danmark","Gyldendalske Boghandel, Nordisk Forlag, Kjøbenhavn, 1916",001967748:17,texts/larsenk_17.xml,https://tekster.kb.dk/text/adl-texts-larsenk_17-root,,,,
"Schandorph, Sophus", Et Aar i Embede - Skovfogedbørnene. - 1904,", København, 1904-05",001832663:05,texts/schandorph05.xml,https://tekster.kb.dk/text/adl-texts-schandorph05-root,,,,
"Arrebo, Anders", Indledning og kommentar. Ved Vagn Lundgaard Simonsen under medvirken af Flemming Hovmann. Ordbog ved Ebba Hjorth. 1983,"Munksgaard., København, 1965-83.",001625930:05,texts/arre05tom.xml,https://tekster.kb.dk/text/adl-texts-arre05tom-root,,,,
"Brandes, Edvard",En Politiker,"P. G. Philipsen, Kjøbenhavn, 1889",002015958:04,texts/brandesed_04.xml,https://tekster.kb.dk/text/adl-texts-brandesed_04-root,,,,
"Goldschmidt, M. A.",Arvingen,"Det Danske Sprog- og Litteraturselskab, [S.l.], 1988",001445737:01,texts/goldschmidt01.xml,https://tekster.kb.dk/text/adl-texts-goldschmidt01-root,,,,
"Heiberg, Johanne Luise",Et liv genoplevet i erindringen,"Gyldendal, [København], 1973-74.",001663554:03,texts/heibfr03.xml,https://tekster.kb.dk/text/adl-texts-heibfr03-root,,,,
